"","seed","Group","chem","beta_lasso","mean","se","number_nonzero"
"63",4,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"64",4,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"65",4,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.0107313245205017,-0.000793342774437702,0.000258429964777081,11
"66",4,"mPFD","2,3,4,7,8-pncdf",0.0255236278943543,0.022785687851283,9.85868262387431e-05,100
"67",4,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"68",4,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"69",4,"mPFD","1,2,3,4,6,7,8-hxcdf",0.00779198195708126,0.000812445079317047,0.000192221485691723,71
"70",4,"Non-Ortho PCBs","PCB 126",0.0119135667675542,0.010731540842584,5.24662956248506e-05,100
"71",4,"Non-Ortho PCBs","PCB 169",0.00787592040361167,0.000500002439143377,0.000189547658862809,11
"72",4,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"73",5,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"74",5,"Non-Dioxin-like PCBs","PCB 99",0.00137096222544985,0.00207883006469387,0.000103872062126573,100
"75",5,"mPFD","PCB 118",0.00339259251451403,0.00417413751941203,0.00015889455616173,100
"76",5,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"77",5,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"78",5,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"79",5,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"80",5,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"81",5,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"82",5,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"83",5,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"84",5,"mPFD","2,3,4,7,8-pncdf",0.0220294215174968,0.022785687851283,9.85868262387431e-05,100
"85",5,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
