seed,term,estimate,std.error,statistic,p.value
1,wqs,0.020156490237625356,0.005568017970630458,3.620047626272849,3.2021613317878756e-4
2,wqs,0.018495506992687944,0.0053492746989546505,3.4575728549334577,5.848656378122206e-4
3,wqs,0.013189549451825398,0.005133467242259735,2.56932572652775,0.010437582755947146
4,wqs,0.01641504689653773,0.005166005786212822,3.1775122939944542,0.0015641936176664607
5,wqs,0.015291327311367927,0.005193733267508523,2.944188028874903,0.003367273231457488
6,wqs,0.014004968213903022,0.005038318331586094,2.7796910183509924,0.0056169572056186026
7,wqs,0.018957399644204915,0.005086662929971713,3.726883401788594,2.1277736104168698e-4
8,wqs,0.018545175143422972,0.004755150184128732,3.9000188059929664,1.0740162256819076e-4
9,wqs,0.018675045338678368,0.00556600309027526,3.3551985214141906,8.447184003053031e-4
10,wqs,0.013210218148956208,0.005257210558152929,2.5127808754910306,0.012247558265990298
11,wqs,0.01564043305615185,0.004908356369493157,3.1864909307241067,0.0015172590608600696
12,wqs,0.012063035508585847,0.005553854028834596,2.172011623992415,0.030257810469355197
13,wqs,0.01375610965492137,0.005229830383535995,2.630316596543344,0.008756319562313262
14,wqs,0.009437794597232513,0.0052443456766218,1.7996133701300876,0.07243952009797482
15,wqs,0.015357713681109395,0.005070708556152085,3.028711571773634,0.00256484615311227
16,wqs,0.021062882837199207,0.005314780380468651,3.963076802684725,8.318400195243177e-5
17,wqs,0.019923192202447412,0.005481147254593852,3.634858046506489,3.027570724462855e-4
18,wqs,0.011788100478016346,0.0054922951234188475,2.146297715822394,0.03226198778203826
19,wqs,0.01699952188214417,0.005682483635305829,2.9915654796653475,0.0028930248150820146
20,wqs,0.016441423258955055,0.0055628788604028655,2.9555601823341453,0.003247374322671159
21,wqs,0.01574614072183401,0.004886771958472623,3.2221967498470137,0.0013431932711993502
22,wqs,0.01463656351839938,0.005242862978061652,2.7917120053766293,0.0054151770059246975
23,wqs,0.012975522966872976,0.0045878992893597596,2.828205709956573,0.004842159016947927
24,wqs,0.02014095508864608,0.005450792236025535,3.6950509607630777,2.405876750495256e-4
25,wqs,0.01728900199873955,0.006120222046515259,2.8248978333365513,0.004891734660456049
26,wqs,0.012405933888789153,0.005151662224974234,2.4081419446810104,0.016343879587315743
27,wqs,0.013986341692306599,0.005386544586252079,2.5965331704491095,0.00965491369480137
28,wqs,0.013596564084954403,0.00540863194079094,2.513863807668541,0.012210428025012767
29,wqs,0.022171515310705835,0.005211204910938372,4.254585204309967,2.440415149946726e-5
30,wqs,0.01602735305771662,0.004889352407255252,3.2780114262031557,0.0011077309978851874
31,wqs,0.01514533860031498,0.005208478830378491,2.9078237799450544,0.003778296979819341
32,wqs,0.018883368718307612,0.005480468090782548,3.4455758897797515,6.10904322484145e-4
33,wqs,0.017980439858579188,0.005099640602916804,3.5258249077974333,4.5539397492153544e-4
34,wqs,0.01583887934094556,0.005075100212596392,3.1208998201914286,0.0018923527616788484
35,wqs,0.01586215302336515,0.005807166172777602,2.7314790986561674,0.006496334580360659
36,wqs,0.009349023593369941,0.005389480054648766,1.7346800616333704,0.08332691616898534
37,wqs,0.01159037645178583,0.004861282170392453,2.3842221137412674,0.017434682847773022
38,wqs,0.009719041398829066,0.005306724429070648,1.8314577153445928,0.0675432364112521
39,wqs,0.013448320730707768,0.005520892700002758,2.435896051865136,0.015153945809861959
40,wqs,0.012548141541199551,0.0054112986842515965,2.318878013094745,0.020747078963320953
41,wqs,0.012064866287733216,0.005122655235613548,2.3551977895869833,0.01884380712624961
42,wqs,0.013074056986892698,0.00480648906820883,2.720084619221829,0.0067215200209090695
43,wqs,0.014640870460837374,0.0051452261334274324,2.8455251686060548,0.004589952314811803
44,wqs,0.013273369468634002,0.0054758994760039995,2.423961492865123,0.015655922000084713
45,wqs,0.016861283289271972,0.005316788670907158,3.171328471551809,0.001597294218405313
46,wqs,0.017414978590137718,0.005392357955419916,3.229566496533068,0.0013096481700489943
47,wqs,0.012843280612977338,0.004944695449676768,2.5973855707972664,0.009631263669874457
48,wqs,0.021429039457965607,0.005520732726149115,3.8815571267318054,1.156683059740078e-4
49,wqs,0.01760710860826326,0.004679992737569343,3.7622085322738976,1.8546927669568309e-4
50,wqs,0.01501571888928663,0.005277240585623717,2.845373191851916,0.004592112532523724
51,wqs,0.0170274378806096,0.005203097261164267,3.2725580603118436,0.0011289253612957587
52,wqs,0.019654198982960232,0.004817179045584503,4.080022518775913,5.131497812622051e-5
53,wqs,0.018735771444974597,0.005792432948497726,3.2345253905500524,0.0012875146920187813
54,wqs,0.012289587788008626,0.006084080057165795,2.0199582636217976,0.04384539511691024
55,wqs,0.016126226556825617,0.00473282299761645,3.407316640606912,7.013477663841626e-4
56,wqs,0.013801463667517198,0.004983888243762014,2.7692161205242773,0.005798303810486711
57,wqs,0.0207727141202667,0.005405171665271544,3.8431182960815593,1.348494780282385e-4
58,wqs,0.012134330394242132,0.004943189214023102,2.454757418514108,0.014389573361416764
59,wqs,0.02471981594569941,0.005280001622866944,4.681781884051203,3.5420039771024555e-6
60,wqs,0.017473283552520535,0.005029430385753646,3.4742072585427017,5.504723379662429e-4
61,wqs,0.02062303013032309,0.004765631805326936,4.3274493231455775,1.7755528873198625e-5
62,wqs,0.013648018257673299,0.004970504168641045,2.7458015916732887,0.006222944381105457
63,wqs,0.016901838133772155,0.005068344161531007,3.3347850096798823,9.0796200478441e-4
64,wqs,0.014973387741821042,0.005828039239897307,2.569198168625385,0.010441381741847033
65,wqs,0.013950171829090766,0.004910156486857592,2.8410849769105044,0.0046534475786779985
